Epoch,Anxiety,Asthma,Atrial Fibrillation,Breast Cancer,COVID-19,Cancer,Colorectal Cancer,Coronary Artery Disease,Covid19,Depression,Diabetes,"Diabetes Mellitus, Type 2",Healthy,Healthy Volunteers,Heart Failure,Hypertension,Obesity,Pain,Prostate Cancer,Stroke
1262340000000,4,14,6,23,,6,4,6,,3,11,6,20,3,3,17,15,14,12,2
1265018400000,1,14,4,14,,2,5,3,,6,5,8,16,4,6,3,12,5,3,1
1267437600000,1,17,4,18,,9,7,7,,3,10,8,32,8,8,10,18,6,10,9
1270116000000,2,11,1,11,,5,6,9,,12,10,6,36,10,3,6,11,7,7,7
1272708000000,2,12,1,13,,5,7,9,,12,11,10,36,7,10,14,18,17,6,7
1275386400000,1,20,4,19,,4,8,10,,12,15,14,43,8,4,12,24,15,9,7
1277978400000,1,19,,8,,7,6,6,,6,9,10,31,2,4,9,16,14,8,2
1280656800000,1,10,4,18,,6,8,12,,8,11,8,33,8,6,13,15,12,8,1
1283335200000,3,10,5,21,,7,4,10,,8,13,18,35,2,8,8,13,12,5,6
1285927200000,2,12,3,20,,8,5,6,,10,10,10,35,3,5,9,18,15,7,10
1288605600000,,8,9,11,,12,6,2,,5,17,19,31,5,4,11,9,7,8,6
1291197600000,4,20,3,44,,17,12,19,,18,28,18,39,4,12,17,34,18,14,16
1293876000000,4,13,1,18,,2,7,8,,12,5,10,32,8,6,11,22,10,7,3
1296554400000,3,13,1,17,,7,4,7,,6,4,11,18,5,5,4,17,6,6,6
1298973600000,2,11,5,22,,7,6,16,,7,14,9,33,10,8,9,24,10,11,6
1301652000000,1,6,3,17,,12,6,9,,8,9,7,32,5,6,8,20,10,6,2
1304244000000,2,13,2,14,,6,3,10,,6,10,6,30,6,8,11,19,3,8,5
1306922400000,5,19,7,21,,13,9,15,,9,15,10,31,11,7,17,27,17,13,10
1309514400000,3,16,4,16,,13,4,7,,10,12,10,42,9,6,10,17,10,14,6
1312192800000,3,13,6,14,,9,11,11,,6,7,4,32,6,8,11,26,7,11,5
1314871200000,5,15,4,20,,5,8,13,,17,12,9,24,16,3,12,24,17,9,10
1317463200000,6,15,7,24,,6,7,6,,10,5,4,32,2,9,15,18,21,9,6
1320141600000,2,7,,16,,9,8,10,,10,9,9,26,2,5,6,8,10,7,5
1322733600000,4,26,11,30,,13,16,26,,20,20,12,57,7,18,26,44,28,14,13
1325412000000,3,19,7,27,,5,10,12,,17,9,10,32,8,11,8,21,13,10,3
1328090400000,2,12,7,24,,7,3,7,,6,8,4,24,8,7,15,12,6,4,3
1330596000000,1,15,1,12,,9,7,6,,9,9,12,23,7,18,14,18,10,8,5
1333274400000,1,11,7,16,,10,4,9,,12,10,13,35,4,4,13,12,15,8,7
1335866400000,1,9,4,25,,10,7,11,,13,11,14,25,10,4,10,22,8,16,7
1338544800000,5,13,10,18,,6,13,16,,11,10,13,36,8,13,14,21,17,9,13
1341136800000,3,6,4,17,,11,5,6,,12,12,13,28,12,18,13,26,11,9,10
1343815200000,5,19,2,26,,7,7,19,,9,11,4,38,12,6,16,23,13,14,6
1346493600000,4,18,3,11,,7,5,13,,8,12,14,33,7,13,13,18,15,9,5
1349085600000,2,17,3,15,,7,6,8,,8,17,10,30,7,4,9,25,12,9,5
1351764000000,4,13,4,24,,7,8,6,,9,9,13,31,9,6,8,19,9,12,6
1354356000000,8,18,15,42,,10,21,22,,21,22,15,58,4,21,33,46,25,25,13
1357034400000,2,7,4,17,,7,5,11,,10,5,9,30,7,7,11,26,11,7,8
1359712800000,5,12,1,18,,6,5,10,,7,4,5,21,8,1,3,16,17,5,6
1362132000000,5,15,6,25,,12,11,17,,13,16,14,31,10,8,11,26,20,16,9
1364810400000,4,11,8,14,,10,9,13,,13,8,9,21,6,7,16,24,11,10,5
1367402400000,2,16,5,26,,12,7,16,,12,10,7,33,4,7,18,20,12,10,6
1370080800000,6,16,8,30,,10,10,15,,20,11,3,33,9,10,13,35,17,11,13
1372672800000,4,15,5,23,,7,5,12,,12,12,4,25,11,6,15,18,14,10,10
1375351200000,3,5,5,12,,12,3,9,,10,11,7,29,8,6,7,25,9,6,2
1378029600000,8,14,6,18,,4,8,15,,11,13,9,19,12,6,8,21,8,10,10
1380621600000,5,16,7,27,,6,8,15,,11,8,7,35,10,10,10,15,10,12,10
1383300000000,1,17,8,17,,9,11,7,,11,10,8,43,9,7,6,21,12,12,6
1385892000000,5,25,16,42,,12,16,22,,21,34,10,52,18,14,28,44,20,20,26
1388570400000,3,13,10,19,,7,6,11,,5,11,12,41,9,8,15,30,15,2,5
1391248800000,6,7,5,19,,3,6,7,,17,5,5,24,8,8,9,21,11,12,7
1393668000000,2,11,4,16,,5,5,8,,8,11,6,35,9,11,15,32,12,5,5
1396346400000,6,16,7,18,,11,4,10,,14,9,8,43,8,9,9,24,14,10,10
1398938400000,3,14,6,27,,7,5,9,,11,8,11,42,13,8,16,24,17,9,9
1401616800000,7,9,3,21,,7,5,19,,15,10,3,45,9,15,16,38,15,9,9
1404208800000,3,14,8,22,,8,11,10,,7,9,2,41,14,11,16,31,19,14,13
