Date,Connecticut,Maine,Massachusetts,New Hampshire,Rhode Island,Vermont
06-20-2021,116215630,74122930,231895373,78829452,29954164,28401445
06-27-2021,113216503,72423719,226224255,76942178,30477131,27545938
07-04-2021,121607395,80418562,243255784,83777269,32465956,30772113
07-11-2021,116891190,73370401,237428914,79173506,33144321,28591993
07-18-2021,110647700,75898204,228042795,77255998,29872006,28423311
07-25-2021,111642604,75018840,227200242,77640222,31245265,28561903
08-01-2021,112484547,74943057,227908720,77616091,30726814,28165788
08-08-2021,117001601,74896284,241730431,79280882,32794292,29306670
08-15-2021,114870834,76450413,235974182,79836584,31261811,29276442
08-22-2021,123634458,74737588,240192622,79366054,32236716,28136835
